Program Counter (Line Number),Call Stack,Micro Queue,Promises,Macro Queue,Event Registry,Console Output
24,[ function@22(1) ],[ promise@8.resolve(1) = (1) => foo(1) ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(1) = (1) => foo(1) ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(1) = (1) => foo(1) ],[ ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(1) = (1) => foo(1), foo(1) ]",[ ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(1) = (1) => foo(1), foo(1) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
18,"[ promise@8.resolve(1) = (1) => foo(1), foo(1) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ function@26(2) ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ function@26(2) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ function@26(2) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(2) ],[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(2) ],[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 2 received by ev2
28,[ function@26(2) ],[ promise@5.resolve(2) = (2) => foo(2) ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(2) = (2) => foo(2) ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(2) = (2) => foo(2) ],[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(2) = (2) => foo(2), foo(2) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(2) = (2) => foo(2), foo(2) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(2) = (2) => foo(2), foo(2) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ function@22(3) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ function@22(3) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ function@22(3) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(3) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(3) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 3 received by ev1
24,[ function@22(3) ],[ promise@8.resolve(3) = (3) => foo(3) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(3) = (3) => foo(3) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(3) = (3) => foo(3) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(3) = (3) => foo(3), foo(3) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(3) = (3) => foo(3), foo(3) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
18,"[ promise@8.resolve(3) = (3) => foo(3), foo(3) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ function@26(4) ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ function@26(4) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ function@26(4) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(4) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(4) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 4 received by ev2
28,[ function@26(4) ],[ promise@5.resolve(4) = (4) => foo(4) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(4) = (4) => foo(4) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(4) = (4) => foo(4) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(4) = (4) => foo(4), foo(4) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(4) = (4) => foo(4), foo(4) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(4) = (4) => foo(4), foo(4) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(5) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(5) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(5) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(5) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(5) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 5 received by ev1
24,[ function@22(5) ],[ promise@8.resolve(5) = (5) => foo(5) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(5) = (5) => foo(5) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(5) = (5) => foo(5) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(5) = (5) => foo(5), foo(5) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(5) = (5) => foo(5), foo(5) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
18,"[ promise@8.resolve(5) = (5) => foo(5), foo(5) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(6) ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(6) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(6) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(6) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(6) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 6 received by ev2
28,[ function@26(6) ],[ promise@5.resolve(6) = (6) => foo(6) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(6) = (6) => foo(6) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(6) = (6) => foo(6) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(6) = (6) => foo(6), foo(6) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(6) = (6) => foo(6), foo(6) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(6) = (6) => foo(6), foo(6) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(7) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(7) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(7) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(7) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(7) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 7 received by ev1
24,[ function@22(7) ],[ promise@8.resolve(7) = (7) => foo(7) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(7) = (7) => foo(7) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(7) = (7) => foo(7) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(7) = (7) => foo(7), foo(7) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(7) = (7) => foo(7), foo(7) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
18,"[ promise@8.resolve(7) = (7) => foo(7), foo(7) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(8) ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(8) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(8) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(8) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(8) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 8 received by ev2
28,[ function@26(8) ],[ promise@5.resolve(8) = (8) => foo(8) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(8) = (8) => foo(8) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(8) = (8) => foo(8) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(8) = (8) => foo(8), foo(8) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(8) = (8) => foo(8), foo(8) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(8) = (8) => foo(8), foo(8) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(9) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(9) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(9) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(9) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(9) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 9 received by ev1
24,[ function@22(9) ],[ promise@8.resolve(9) = (9) => foo(9) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(9) = (9) => foo(9) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(9) = (9) => foo(9) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(9) = (9) => foo(9), foo(9) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(9) = (9) => foo(9), foo(9) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
18,"[ promise@8.resolve(9) = (9) => foo(9), foo(9) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(10) ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(10) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ function@26(10) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(10) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(10) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 10 received by ev2
28,[ function@26(10) ],[ promise@5.resolve(10) = (10) => foo(10) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(10) = (10) => foo(10) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(10) = (10) => foo(10) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(10) = (10) => foo(10), foo(10) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(10) = (10) => foo(10), foo(10) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(10) = (10) => foo(10), foo(10) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(11) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(11) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ function@22(11) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(11) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(11) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 11 received by ev1
24,[ function@22(11) ],[ promise@8.resolve(11) = (11) => foo(11) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@8.resolve(11) = (11) => foo(11) ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(11) = (11) => foo(11) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@8.resolve(11) = (11) => foo(11), foo(11) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@8.resolve(11) = (11) => foo(11), foo(11) ]",[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
24,[ promise@8.resolve(11) = (11) => foo(11) ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24, promise@28, promise@24 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
